Student Number,Name,Type,Program
23-19239-200,Nicole Lea Nograles,Regular,BSCS
23-13231-593,Bea Abigail Pon,Regular,BSCS
23-43924-232,Mark Gem Pammit,Regular,BSCS
23-84192-249,Jonathan Josh Garcia,Regular,BSCS
23-47712-442,Julio Montemayor,Regular,BSCS
23-00022-232,Arjay Bautista,Regular,BSCS
23-81832-233,Mario Benz Culinao,Regular,BSCS
23-58393-223,Lawrence Sandoval,Regular,BSCS
23-12322-333,Brix Lander Gozo,Regular,BSCS
23-13923-534,Carl Garcia,Regular,BSCS
23-53894-232,Ella Bayucan,Regular,BSCS
23-12002-222,Ben Danque,Regular,BSCS
23-48209-223,Princess Evangelista,Regular,BSCS
23-48298-234,Airah Sarah Tobias,Regular,BSCS
23-48387-232,Shara Marie Solano,Regular,BSCS
23-49980-222,Julius Earl Carida,Regular,BSCS
23-84033-438,Michael James Acosta,Regular,BSCS
23-12920-293,Jaime Nunag,Regular,BSCS
23-12080-218,Carl Anthony Juan,Irregular,BSCS
23-29482-223,Jennifer Regala,Irregular,BSCS
23-84930-433,Mikaela Jasmine Montes,Irregular,BSCS
23-49348-233,Connie Dela Cruz,Irregular,BSIS
22-12039-222,Mayeth May Hulyo,Irregular,BSASTRO
21-38884-945,Frank Emmanuel Serrano,Irregular,BSIS
22-43978-343,Daniella Acosta,Irregular,BSIS
